"Reference","Qty","Description","Value","Footprint","DNP"
"R131","1","RG3216P-2201-D-T5","2.2k","Resistor_SMD:R_1206_3216Metric",""
"R132","1","RG3216P-2201-D-T5","2.2k","Resistor_SMD:R_1206_3216Metric",""
"R133","1","RG3216P-4703-D-T5","470k","Resistor_SMD:R_1206_3216Metric",""
"R134","1","RG3216P-1002-D-T5","10k","Resistor_SMD:R_1206_3216Metric",""
"R135","1","RG3216P-1001-D-T5","1k","Resistor_SMD:R_1206_3216Metric",""
"R136","1","RG3216P-1000-D-T5","100","Resistor_SMD:R_1206_3216Metric",""
"R137","1","ERA-8AEB301V","300","Resistor_SMD:R_1206_3216Metric",""
"R138","1","CRCW12062R20FKEAHP","2.2","Resistor_SMD:R_1206_3216Metric",""
"R139","1","RG3216P-1301-D-T5","1.3k","Resistor_SMD:R_1206_3216Metric",""
"R140","1","RG3216P-4701-D-T5","4.7k","Resistor_SMD:R_1206_3216Metric",""
"R141","1","RG3216P-4701-D-T5","4.7k","Resistor_SMD:R_1206_3216Metric",""
"R142","1","CRCW12062R20FKEAHP","2.2","Resistor_SMD:R_1206_3216Metric",""
"R143","1","RG3216P-1301-D-T5","1.3k","Resistor_SMD:R_1206_3216Metric",""
"R144","1","ERA-8AEB153V","15k","Resistor_SMD:R_1206_3216Metric",""
"R145","1","RG3216P-2402-D-T5","24k","Resistor_SMD:R_1206_3216Metric",""
"R146","1","RG3216P-2201-D-T5","2.2k","Resistor_SMD:R_1206_3216Metric",""
"R147","1","RG3216P-1000-D-T5","100","Resistor_SMD:R_1206_3216Metric",""
"R148","1","RG3216P-2201-D-T5","2.2k","Resistor_SMD:R_1206_3216Metric",""
"R149","1","RG3216P-1002-D-T5","10k","Resistor_SMD:R_1206_3216Metric",""
"R150","1","RG3216P-2002-D-T5","20k","Resistor_SMD:R_1206_3216Metric",""
"R151","1","RG3216P-2002-D-T5","20k","Resistor_SMD:R_1206_3216Metric",""
"R152","1","RG3216P-5102-D-T5","51k","Resistor_SMD:R_1206_3216Metric",""
"R153","1","RG3216P-5102-D-T5","51k","Resistor_SMD:R_1206_3216Metric",""
"R154","1","RG3216P-5102-D-T5","51k","Resistor_SMD:R_1206_3216Metric",""
"R155","1","RG3216P-5102-D-T5","51k","Resistor_SMD:R_1206_3216Metric",""
"R156","1","RG3216P-1000-D-T5","100","Resistor_SMD:R_1206_3216Metric",""
"R157","1","RG3216P-1000-D-T5","100","Resistor_SMD:R_1206_3216Metric",""
"R158","1","RG3216P-1004-D-T5","1M","Resistor_SMD:R_1206_3216Metric",""
"T100","1","78602/3MC","78602/3MC","Transformer_SMD:Transformer_Wuerth_750315371",""
"U100","1","NE5532DR","TLV9362","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"U101","1","NE5532DR","TLV9362","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"U102","1","LM339DR","LM339","Package_SO:TSSOP-14_4.4x5mm_P0.65mm",""
